Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1700-12-31,8.30000,nan,nan,1.00000
1701-12-31,18.30000,nan,nan,1.00000
1702-12-31,26.70000,nan,nan,1.00000
1703-12-31,38.30000,nan,nan,1.00000
1704-12-31,60.00000,nan,nan,1.00000
1705-12-31,96.70000,nan,nan,1.00000
1706-12-31,48.30000,nan,nan,1.00000
1707-12-31,33.30000,nan,nan,1.00000
1708-12-31,16.70000,nan,nan,1.00000
1709-12-31,13.30000,nan,nan,1.00000
1710-12-31,5.00000,nan,nan,1.00000
1711-12-31,0.00000,nan,nan,1.00000
1712-12-31,0.00000,nan,nan,1.00000
1713-12-31,3.30000,nan,nan,1.00000
1714-12-31,18.30000,nan,nan,1.00000
1715-12-31,45.00000,nan,nan,1.00000
1716-12-31,78.30000,nan,nan,1.00000
1717-12-31,105.00000,nan,nan,1.00000
1718-12-31,100.00000,nan,nan,1.00000
1719-12-31,65.00000,nan,nan,1.00000
1720-12-31,46.70000,nan,nan,1.00000
1721-12-31,43.30000,nan,nan,1.00000
1722-12-31,36.70000,nan,nan,1.00000
1723-12-31,18.30000,nan,nan,1.00000
1724-12-31,35.00000,nan,nan,1.00000
1725-12-31,66.70000,nan,nan,1.00000
1726-12-31,130.00000,nan,nan,1.00000
1727-12-31,203.30000,nan,nan,1.00000
1728-12-31,171.70000,nan,nan,1.00000
1729-12-31,121.70000,nan,nan,1.00000
1730-12-31,78.30000,nan,nan,1.00000
1731-12-31,58.30000,nan,nan,1.00000
1732-12-31,18.30000,nan,nan,1.00000
1733-12-31,8.30000,nan,nan,1.00000
1734-12-31,26.70000,nan,nan,1.00000
1735-12-31,56.70000,nan,nan,1.00000
1736-12-31,116.70000,nan,nan,1.00000
1737-12-31,135.00000,nan,nan,1.00000
1738-12-31,185.00000,nan,nan,1.00000
1739-12-31,168.30000,nan,nan,1.00000
1740-12-31,121.70000,nan,nan,1.00000
1741-12-31,66.70000,nan,nan,1.00000
1742-12-31,33.30000,nan,nan,1.00000
1743-12-31,26.70000,nan,nan,1.00000
1744-12-31,8.30000,nan,nan,1.00000
1745-12-31,18.30000,nan,nan,1.00000
1746-12-31,36.70000,nan,nan,1.00000
1747-12-31,66.70000,nan,nan,1.00000
1748-12-31,100.00000,nan,nan,1.00000
1749-12-31,134.80000,nan,nan,1.00000
1750-12-31,139.00000,nan,nan,1.00000
1751-12-31,79.50000,nan,nan,1.00000
1752-12-31,79.70000,nan,nan,1.00000
1753-12-31,51.20000,nan,nan,1.00000
1754-12-31,20.30000,nan,nan,1.00000
1755-12-31,16.00000,nan,nan,1.00000
1756-12-31,17.00000,nan,nan,1.00000
1757-12-31,54.00000,nan,nan,1.00000
1758-12-31,79.30000,nan,nan,1.00000
1759-12-31,90.00000,nan,nan,1.00000
1760-12-31,104.80000,nan,nan,1.00000
1761-12-31,143.20000,nan,nan,1.00000
1762-12-31,102.00000,nan,nan,1.00000
1763-12-31,75.20000,nan,nan,1.00000
1764-12-31,60.70000,nan,nan,1.00000
1765-12-31,34.80000,nan,nan,1.00000
1766-12-31,19.00000,nan,nan,1.00000
1767-12-31,63.00000,nan,nan,1.00000
1768-12-31,116.30000,nan,nan,1.00000
1769-12-31,176.80000,nan,nan,1.00000
1770-12-31,168.00000,nan,nan,1.00000
1771-12-31,136.00000,nan,nan,1.00000
1772-12-31,110.80000,nan,nan,1.00000
1773-12-31,58.00000,nan,nan,1.00000
1774-12-31,51.00000,nan,nan,1.00000
1775-12-31,11.70000,nan,nan,1.00000
1776-12-31,33.00000,nan,nan,1.00000
1777-12-31,154.20000,nan,nan,1.00000
1778-12-31,257.30000,nan,nan,1.00000
1779-12-31,209.80000,nan,nan,1.00000
1780-12-31,141.30000,nan,nan,1.00000
1781-12-31,113.50000,nan,nan,1.00000
1782-12-31,64.20000,nan,nan,1.00000
1783-12-31,38.00000,nan,nan,1.00000
1784-12-31,17.00000,nan,nan,1.00000
1785-12-31,40.20000,nan,nan,1.00000
1786-12-31,138.20000,nan,nan,1.00000
1787-12-31,220.00000,nan,nan,1.00000
1788-12-31,218.20000,nan,nan,1.00000
1789-12-31,196.80000,nan,nan,1.00000
