지점,일시,기온(°C),강수량(mm)
184,2019-09-01 00:00,23.7,
184,2019-09-01 01:00,23.7,
184,2019-09-01 02:00,23.5,
184,2019-09-01 03:00,23.4,
184,2019-09-01 04:00,23.4,
184,2019-09-01 05:00,23.3,
184,2019-09-01 06:00,23.4,
184,2019-09-01 07:00,23.5,0
184,2019-09-01 08:00,24,0
184,2019-09-01 09:00,24.9,0
184,2019-09-01 10:00,26.2,
184,2019-09-01 11:00,25.9,
184,2019-09-01 12:00,25.7,0
184,2019-09-01 13:00,25.1,0
184,2019-09-01 14:00,25.1,0
184,2019-09-01 15:00,23.5,.6
184,2019-09-01 16:00,23.8,0
184,2019-09-01 17:00,23.1,.2
184,2019-09-01 18:00,22.5,1.3
184,2019-09-01 19:00,21.5,9.7
184,2019-09-01 20:00,20.6,2.3
184,2019-09-01 21:00,21.2,1.5
184,2019-09-01 22:00,21.7,7.3
184,2019-09-01 23:00,21.9,2.1
184,2019-09-02 00:00,21.9,1.1
184,2019-09-02 01:00,22.1,1
184,2019-09-02 02:00,22.3,.9
184,2019-09-02 03:00,22.8,.1
184,2019-09-02 04:00,23.1,0
184,2019-09-02 05:00,23.6,
184,2019-09-02 06:00,23.3,.1
184,2019-09-02 07:00,23.3,1.8
184,2019-09-02 08:00,22.3,3.9
184,2019-09-02 09:00,22.2,16.4
184,2019-09-02 10:00,22.5,1.5
184,2019-09-02 11:00,23.2,
184,2019-09-02 12:00,23.8,
184,2019-09-02 13:00,24.3,
184,2019-09-02 14:00,25.6,
184,2019-09-02 15:00,25.5,
184,2019-09-02 16:00,25.7,
184,2019-09-02 17:00,26.4,
184,2019-09-02 18:00,25.4,
184,2019-09-02 19:00,24.9,
184,2019-09-02 20:00,25.4,
184,2019-09-02 21:00,25.3,
184,2019-09-02 22:00,24.9,
184,2019-09-02 23:00,24.3,
184,2019-09-03 00:00,24.6,
184,2019-09-03 01:00,24.8,
184,2019-09-03 02:00,24.6,
184,2019-09-03 03:00,24.6,
184,2019-09-03 04:00,24.2,0
184,2019-09-03 05:00,22.8,0
184,2019-09-03 06:00,23.2,4.4
184,2019-09-03 07:00,22.6,5.1
184,2019-09-03 08:00,23.4,2.6
184,2019-09-03 09:00,24.9,
